+-------------------------------------------------------------------------------------+
| actor                                                             |  average rating |
| Felix Bressart                                                    |             8.2 |
| Mack Swain                                                        |             8.2 |
| Tom Murray                                                        |             8.2 |
| Kathryn McGuire                                                   |             8.2 |
| Joe Keaton                                                        |             8.2 |
| Erwin Connelly                                                    |             8.2 |
| Jack Hawkins                                                      |             8.2 |
| Gunnar Björnstrand                                                |             8.2 |
| Michael Biehn                                                     |             8.2 |
| Robert Redford                                                    |             8.2 |
| Frances McDormand                                                 |             8.2 |
| Woody Harrelson                                                   |             8.2 |
| Daniel Day-Lewis                                                  |             8.2 |
| Alexandra Maria Lara                                              |             8.2 |
| Ed Harris                                                         |             8.2 |
| Graham Chapman                                                    |             8.2 |
| John Cleese                                                       |             8.2 |
| Terry Gilliam                                                     |             8.2 |
| Faye Dunaway                                                      |             8.2 |
| Richard Attenborough                                              |             8.2 |
| Bibi Andersson                                                    |             8.2 |
| George Sanders                                                    |             8.2 |
| Buster Keaton                                                     |             8.2 |
| Robin Williams                                                    |             8.1 |
| Paul Newman                                                       |             8.1 |
| Mario Casas                                                       |             8.1 |
| Ana Wagener                                                       |             8.1 |
| Jose Coronado                                                     |             8.1 |
| Bárbara Lennie                                                    |             8.1 |
| Min-hee Kim                                                       |             8.1 |
| Jung-woo Ha                                                       |             8.1 |
| Jin-woong Cho                                                     |             8.1 |
| So-Ri Moon                                                        |             8.1 |
| Patrick Stewart                                                   |             8.1 |
| Dafne Keen                                                        |             8.1 |
| Boyd Holbrook                                                     |             8.1 |
| Brie Larson                                                       |             8.1 |
| Jacob Tremblay                                                    |             8.1 |
| Sean Bridgers                                                     |             8.1 |
| Wendy Crewson                                                     |             8.1 |
| Darío Grandinetti                                                 |             8.1 |
| María Marull                                                      |             8.1 |
| Mónica Villa                                                      |             8.1 |
| Diego Starosta                                                    |             8.1 |
| Anushka Sharma                                                    |             8.1 |
| Sanjay Dutt                                                       |             8.1 |
| Boman Irani                                                       |             8.1 |
| Mathieu Amalric                                                   |             8.1 |
| Rosamund Pike                                                     |             8.1 |
| Neil Patrick Harris                                               |             8.1 |
| Tyler Perry                                                       |             8.1 |
| Andrew Garfield                                                   |             8.1 |
| Sam Worthington                                                   |             8.1 |
| Luke Bracey                                                       |             8.1 |
| Teresa Palmer                                                     |             8.1 |
| Amy Poehler                                                       |             8.1 |
| Bill Hader                                                        |             8.1 |
| Lewis Black                                                       |             8.1 |
| Mindy Kaling                                                      |             8.1 |
| Chiwetel Ejiofor                                                  |             8.1 |
| Michael Kenneth Williams                                          |             8.1 |
| Michael Fassbender                                                |             8.1 |
| Daniel Brühl                                                      |             8.1 |
| Olivia Wilde                                                      |             8.1 |
| Jon Bernthal                                                      |             8.1 |
| Caitriona Balfe                                                   |             8.1 |
| Michael Keaton                                                    |             8.1 |
| Rachel McAdams                                                    |             8.1 |
| Liev Schreiber                                                    |             8.1 |
| Emma Stone                                                        |             8.1 |
| Viola Davis                                                       |             8.1 |
| Octavia Spencer                                                   |             8.1 |
| Bryce Dallas Howard                                               |             8.1 |
| Jake Gyllenhaal                                                   |             8.1 |
| Melissa Leo                                                       |             8.1 |
| Charlize Theron                                                   |             8.1 |
| Nicholas Hoult                                                    |             8.1 |
| Zoë Kravitz                                                       |             8.1 |
| Bee Vang                                                          |             8.1 |
| Christopher Carley                                                |             8.1 |
| Ahney Her                                                         |             8.1 |
| Daniel Radcliffe                                                  |             8.1 |
| Emma Watson                                                       |             8.1 |
| Rupert Grint                                                      |             8.1 |
| Michael Gambon                                                    |             8.1 |
| Emily Mortimer                                                    |             8.1 |
| Richard Gere                                                      |             8.1 |
