+-------------------------------------------------------------------------------------+
| actor                                                             | number of films |
| Yesim Salkim                                                      |               1 |
| Don Rickles                                                       |               1 |
| Jim Varney                                                        |               1 |
| Mel Gibson                                                        |               1 |
| Sophie Marceau                                                    |               1 |
| Patrick McGoohan                                                  |               1 |
| Angus Macfadyen                                                   |               1 |
| Harvey Keitel                                                     |               1 |
| Tim Roth                                                          |               1 |
| Chris Penn                                                        |               1 |
| Matthew Modine                                                    |               1 |
| R. Lee Ermey                                                      |               1 |
| Vincent D`Onofrio                                                 |               1 |
| Adam Baldwin                                                      |               1 |
| Aleksey Kravchenko                                                |               1 |
| Olga Mironova                                                     |               1 |
| Liubomiras Laucevicius                                            |               1 |
| Vladas Bagdonas                                                   |               1 |
| Carrie Henn                                                       |               1 |
| Tom Hulce                                                         |               1 |
| Elizabeth Berridge                                                |               1 |
| Roy Dotrice                                                       |               1 |
| Michelle Pfeiffer                                                 |               1 |
| Steven Bauer                                                      |               1 |
| Mary Elizabeth Mastrantonio                                       |               1 |
| Jürgen Prochnow                                                   |               1 |
| Herbert Grönemeyer                                                |               1 |
| Klaus Wennemann                                                   |               1 |
| Hubertus Bengsch                                                  |               1 |
| Cybill Shepherd                                                   |               1 |
| Robert Shaw                                                       |               1 |
| Charles Durning                                                   |               1 |
| Malcolm McDowell                                                  |               1 |
| Michael Bates                                                     |               1 |
| Warren Clarke                                                     |               1 |
| Keir Dullea                                                       |               1 |
| Gary Lockwood                                                     |               1 |
| William Sylvester                                                 |               1 |
| Daniel Richter                                                    |               1 |
| Gian Maria Volontè                                                |               1 |
| Mara Krupp                                                        |               1 |
| Peter O`Toole                                                     |               1 |
| Anthony Quinn                                                     |               1 |
| Shirley MacLaine                                                  |               1 |
| Ray Walston                                                       |               1 |
| Cary Grant                                                        |               1 |
| Eva Marie Saint                                                   |               1 |
| James Mason                                                       |               1 |
| Jessie Royce Landis                                               |               1 |
| Kim Novak                                                         |               1 |
| Barbara Bel Geddes                                                |               1 |
| Tom Helmore                                                       |               1 |
| Gene Kelly                                                        |               1 |
| Donald O`Connor                                                   |               1 |
| Debbie Reynolds                                                   |               1 |
| Jean Hagen                                                        |               1 |
| Nobuo Kaneko                                                      |               1 |
| Shin`ichi Himori                                                  |               1 |
| Haruo Tanaka                                                      |               1 |
| Lamberto Maggiorani                                               |               1 |
| Enzo Staiola                                                      |               1 |
| Lianella Carell                                                   |               1 |
| Elena Altieri                                                     |               1 |
| Barbara Stanwyck                                                  |               1 |
| Edward G. Robinson                                                |               1 |
| Byron Barr                                                        |               1 |
